IBM
MICROSOFT corporation
SIEMENS Aktiengesellschaft
MATSUSHITA ELECTRIC IND company limited
SONY corporation
CANON Kabushiki kaisha
NEC corporation
KONINKL PHILIPS ELECTRONICS Naamloze Vennootschap
HITACHI limited
SAMSUNG ELECTRONICS company limited
INTUITIVE SURGICAL OPERATIONS
FUJITSU limited
HONDA MOTOR company limited
GOOGLE incorporated
MITSUBISHI ELECTRIC corporation
MOTOROLA incorporated
TOSHIBA corporation
INTUITIVE SURGICAL incorporated
NIPPON TELEGRAPH TELEPHONE
NUANCE COMMUNICATIONS incorporated
AT corporation
INTEL corporation
RICOH Kabushiki kaisha
QUALCOMM incorporated
SEIKO EPSON corporation
SHARP Kabushiki kaisha
KOREA ELECTRONICS TELECOMM
TOSHIBA Kabushiki kaisha
GEN ELECTRIC
DENSO corporation
BOEING company
NISSAN MOTOR
GM GLOBAL technology OPERATIONS incorporated
TOYOTA MOTOR corporation
BRITISH TELECOMM
university ZHEJIANG
STATE GRID corporation CHINA
NOKIA corporation
IROBOT corporation
FANUC limited
APPLIED MATERIALS incorporated
AT IP LP
AISIN AW company
STORAGE TECHNOLOGY corporation
HANSEN MEDICAL incorporated
university TSINGHUA
university SHANGHAI JIAOTONG
BOSCH GMBH ROBERT
ZONGCHENG LI
OMRON TATEISI ELECTRONICS company
LG ELECTRONICS incorporated
XEROX corporation
YASKAWA DENKI SEISAKUSHO Kabushiki kaisha
LUCENT TECHNOLOGIES incorporated
AT IP II LP
university BEIHANG
PANASONIC corporation
JOHNSON JOHNSON VISION PROD
ERICSSON TELEFON AB
IND technology RES institute
APPLE incorporated
university SOUTHEAST
ST MICROELECTRONICS SRL
WESTINGHOUSE ELECTRIC corporation
SANYO ELECTRIC company
MASSACHUSETTS institute TECHNOLOGY
SAP Aktiengesellschaft
AMAZON technology incorporated
DEERE company
university BEIJING TECHNOLOGY
university JIANGSU
CHINESE ACAD institute AUTOMATION
SONY ELECTRONICS incorporated
FUJI XEROX company limited
MICROSOFT TECHNOLOGY LICENSING Limited liability company
TEXAS INSTRUMENTS incorporated
CASIO COMPUTER company limited
HONEYWELL international incorporated
AMERICAN TELEPHONE TELEGRAPH
university TIANJIN
TECHNOLOGIES HOLDINGS corporation
university SOUTH CHINA technology
OKI ELECTRIC IND company limited
ETHICON ENDO SURGERY incorporated
FORD MOTOR company
HARMAN BECKER AUTOMOTIVE SYS
PHILIPS INTELLECTUAL PROPERTY
HALLIBURTON ENERGY SERV incorporated
HUSQVARNA AB
university ELECTRONIC SCIENCE technology
TENCENT technology SHENZHEN company limited
FUJI PHOTO FILM company limited
APPLE COMPUTER
university JOHNS HOPKINS
HARBIN institute OF TECHNOLOGY
BAKER HUGHES incorporated
FUJI HEAVY IND limited
SGS THOMSON MICROELECTRONICS
MITSUBISHI HEAVY IND limited
COMMISSARIAT ENERGIE ATOMIQUE
SON YOUNG SUK
TOYOTA MOTOR company limited
university CALIFORNIA
university NEBRASKA
HEWLETT PACKARD DEVELOPMENT company
university XIDIAN
HONEYWELL incorporated
FUJITSU TEN limited
STANFORD RES institute international
MAZDA MOTOR
SEKISUI CHEMICAL company limited
HEWLETT PACKARD company
university JIANGNAN
MATSUSHITA ELECTRIC WORKS limited
YASKAWA ELECTRIC corporation
TOYOTA engineering manufacturing NORTH AMERICA
MAASLAND Naamloze Vennootschap
NASA
YAMAHA corporation
COMPUTER MOTION incorporated
LERNOUT HAUSPIE SPEECHPROD
AC PROPERTIES BV
YAMAHA MOTOR company limited
COMAU SPA
FRANCE TELECOM
HUAWEI technology company limited
ALPINE ELECTRONICS incorporated
BEIJING institute TECHNOLOGY
DU PONT
university DALIAN technology
RESTORATION ROBOTICS incorporated
ORACLE international corporation
university NORTH CHINA ELEC POWER
university HARBIN engineering
university HUAZHONG SCIENCE technology
LOCKHEED corporation
DRAGON SYSTEMS incorporated
university HOHAI CHANGZHOU
FRAUNHOFER GES FORSCHUNG
HON HAI PREC IND company limited
university NANJING POSTS TELECOMM
HYUNDAI MOTOR company limited
university ZHEJIANG TECHNOLOGY
INVENTEC corporation
university COLUMBIA
SPEECHWORKS international incorporated
NTT DOCOMO incorporated
US ARMY
AQUA PRODUCTS incorporated
DAIMLER CHRYSLER Aktiengesellschaft
DELAVAL HOLDING AB
DISNEY ENTPR incorporated
ATI IND AUTOMATION incorporated
university NANJING AERONAUTICS
OLYMPUS OPTICAL company
JAPAN BROADCASTING corporation
GEN MOTORS corporation
HARRIS corporation
ST JUDE MEDICAL ATRIAL FIBRILL
ABB RESEARCH limited
CLARION company limited
EASTMAN KODAK company
CALIFORNIA institute OF TECHN
KOBE STEEL limited
OTIS ELEVATOR company
KOREA ADVANCED institute SCI technology
ATR ADVANCED TELECOMM RES institute
KAWASAKI HEAVY IND limited
ELIZA corporation
NIPPON KOGAKU Kabushiki kaisha
VOLKSWAGEN Aktiengesellschaft
RAYTHEON company
SHENZHEN institute OF ADV technology CAS
John
CUSTOM SPEECH USA incorporated
NAT institute INF COMM technology
university TEXAS
FUJI ELECTRIC company limited
RAYTHEON SARCOS Limited liability company
PIONEER corporation
TELIA AB
university CHONGQING
university WUHAN
VICTOR COMPANY OF JAPAN
NORTHERN TELECOM limited
university SHANGHAI
SONY COMP ENTERTAINMENT incorporated
RICOH company limited
NOKIA MOBILE PHONES limited
David
university BEIJING POSTS TELECOMM
J.
NORTEL NETWORKS limited
university BEIJING JIAOTONG
university HUNAN
DEUTSCHE TELEKOM Aktiengesellschaft
BRAIN corporation
JACOBSEN STEPHEN
university TONGJI
